Trace number,FFID,Correction P,Correction S,Pick P,Pick S,Deformation sample,Density,P vel,S vel,YM sample,Total deformation,Total P vel,Total S vel,Total YM,Poissons ratio,CP
1,0,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069844,3519.549316,2484.306885,65.348404,nan,10
2,1,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069834,3527.856445,2490.321777,65.649384,nan,10
3,2,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069824,3537.362061,2495.664063,66.074867,nan,10
4,3,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069814,3548.365967,2502.466064,66.536705,nan,10
5,4,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069804,3552.17627,2507.849854,66.538734,nan,10
6,5,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069794,3558.914063,2511.823975,66.832466,nan,10
7,6,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069784,3568.595703,2520.172119,67.116821,nan,10
8,7,15.437025,30.213911,0.00002,0.000028,0,2628.5,0,0,nan,0.069774,3569.539795,2524.914063,66.936546,nan,10
9,8,15.437025,30.213911,0.000019,0.000028,0,2628.5,0,0,nan,0.069764,3580.763184,2529.686523,67.526482,nan,10
10,9,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069754,3590.55957,2537.413086,67.853615,nan,10
11,10,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069744,3597.457764,2542.973389,68.078003,nan,10
12,11,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069734,3599.909912,2549.299072,67.924309,nan,10
13,12,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069724,3606.845459,2554.165527,68.188721,nan,10
14,13,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069714,3613.79834,2562.052734,68.290977,nan,10
15,14,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069704,3617.77832,2565.455078,68.409821,nan,10
16,15,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069694,3624.795166,2568.876465,68.7603,nan,10
17,16,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069684,3631.835938,2569.269043,69.277626,nan,10
18,17,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069674,3640.421387,2570.416016,69.871559,nan,10
19,18,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069664,3644.466309,2572.323242,70.077911,nan,10
20,19,15.437025,30.213911,0.000019,0.000027,0,2628.5,0,0,nan,0.069654,3654.650879,2573.474854,70.79332,nan,10
21,20,15.437025,30.213911,0.000019,0.000027,0.069722,2628.5,3664.387695,2576.760254,71.36097,0.069644,3660.279297,2573.871094,71.201057,0.010927,10
22,21,15.437025,30.213911,0.000019,0.000027,0.069715,2628.5,3668.653076,2578.793213,71.578438,0.069634,3664.37085,2575.783203,71.41143,0.011652,10
23,22,15.437025,30.213911,0.000019,0.000027,0.069708,2628.5,3674.481445,2579.303711,71.995682,0.069624,3670.035645,2576.183105,71.821564,0.014323,10
24,23,15.437025,30.213911,0.000019,0.000027,0.069702,2628.5,3680.321289,2582.868164,72.252922,0.069614,3675.695313,2579.621582,72.071396,0.014719,10
25,24,15.437025,30.213911,0.000019,0.000027,0.069695,2628.5,3686.196289,2584.918945,72.59301,0.069604,3681.393311,2581.551025,72.403954,0.016248,10
26,25,15.437025,30.213911,0.000019,0.000027,0.069688,2628.5,3687.398193,2586.202881,72.617134,0.069594,3682.416504,2582.70874,72.421059,0.015924,10
27,26,15.437025,30.213911,0.000019,0.000027,0.069681,2628.5,3691.734619,2588.260986,72.839828,0.069584,3686.575928,2584.644287,72.636398,0.016647,10
28,27,15.437025,30.213911,0.000019,0.000027,0.069675,2628.5,3697.641113,2588.007324,73.303795,0.069574,3692.298584,2584.267822,73.092133,0.019856,10
29,28,15.437025,30.213911,0.000019,0.000027,0.069668,2628.5,3703.582275,2585.458252,73.888588,0.069564,3698.062256,2581.604492,73.66851,0.024697,10
30,29,15.437025,30.213911,0.000019,0.000027,0.069661,2628.5,3706.363281,2585.198975,74.113258,0.069554,3700.677246,2581.23291,73.886032,0.026271,10
31,30,15.437025,30.213911,0.000019,0.000027,0.069654,2628.5,3712.336426,2584.189453,74.618263,0.069544,3706.468994,2580.10498,74.382584,0.029941,10
