Trace number,FFID,Correction P,Correction S,Pick P,Pick S,Deformation sample,Density,P vel,S vel,YM sample,Total deformation,Total P vel,Total S vel,Total YM,Poissons ratio,CP
7,1,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069849,3460.010986,2474.048584,62.048149,nan,10
8,2,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069848,3465.560791,2472.498047,62.549393,nan,10
9,3,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069847,3470.985352,2475.240234,62.806759,nan,10
10,4,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069837,3474.635986,2480.514404,62.793171,nan,10
11,5,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069827,3482.456299,2482.982422,63.246456,nan,10
12,6,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069817,3498.710205,2487.581299,64.218239,nan,10
13,7,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069807,3515.115967,2490.061279,65.315346,nan,10
14,8,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069797,3531.695557,2494.695557,66.310501,nan,10
15,9,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069787,3551.303955,2499.332275,67.532936,nan,10
16,10,15.437025,30.213911,0.00002,0.000028,0,2652.699951,0,0,nan,0.069777,3565.311523,2498.97583,68.595276,nan,10
17,11,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069767,3583.853271,2505.802734,69.626411,nan,10
18,12,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069757,3601.085938,2509.039795,70.7444,nan,10
19,13,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069747,3620.021484,2510.858887,72.05909,nan,10
20,14,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069736,3642.160889,2515.552246,73.468681,nan,10
21,15,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069727,3656.94043,2520.298096,74.332428,nan,10
22,16,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069717,3674.914307,2524.312988,75.469933,nan,10
23,17,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069707,3689.970703,2528.361328,76.391304,nan,10
24,18,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069697,3709.849854,2530.925781,77.741264,nan,10
25,19,15.437025,30.213911,0.000019,0.000027,0,2652.699951,0,0,nan,0.069687,3729.973145,2534.249023,79.074028,nan,10
26,20,15.437025,30.213911,0.000019,0.000027,0,2652.699951,0,0,nan,0.069677,3748.714844,2536.847168,80.339043,nan,10
27,21,15.437025,30.213911,0.000018,0.000027,0,2652.699951,0,0,nan,0.069667,3769.251465,2534.99585,81.937401,nan,10
28,22,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069657,3788.382324,2532.417236,83.458313,nan,10
29,23,15.437025,30.213911,0.000018,0.000027,0,2652.699951,0,0,nan,0.069647,3806.051514,2532.78833,84.738571,nan,10
30,24,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069637,3827.275391,2526.556641,86.557739,nan,10
31,25,15.437025,30.213911,0.000018,0.000027,0,2652.699951,0,0,nan,0.069627,3847.019287,2536.498535,87.583641,nan,10
32,26,15.437025,30.213911,0.000018,0.000027,0.069696,2652.699951,3852.536133,2535.318359,88.03743,0.069617,3848.163574,2532.440918,87.8377,0.118036,10
33,27,15.437025,30.213911,0.000018,0.000027,0.069689,2652.699951,3860.686279,2538.758789,88.490845,0.069607,3856.140625,2535.769775,88.282585,0.119054,10
34,28,15.437025,30.213911,0.000018,0.000027,0.069682,2652.699951,3860.306641,2535.553223,88.596733,0.069597,3855.590332,2532.455566,88.380379,0.120614,10
35,29,15.437025,30.213911,0.000018,0.000027,0.069675,2652.699951,3871.925537,2536.033447,89.42765,0.069587,3867.027344,2532.825195,89.20153,0.124345,10
36,30,15.437025,30.213911,0.000018,0.000027,0.069668,2652.699951,3869.818848,2536.518555,89.253334,0.069577,3864.749023,2533.195557,89.019623,0.123376,10
37,31,15.437025,30.213911,0.000018,0.000027,0.069661,2652.699951,3878.051514,2534.790527,89.927162,0.069567,3872.797119,2531.356201,89.68364,0.127056,10
38,32,15.437025,30.213911,0.000018,0.000028,0.069654,2652.699951,3860.474121,2530.855713,88.803719,0.069557,3855.080078,2527.31958,88.555725,0.123134,10
39,33,15.437025,30.213911,0.000018,0.000028,0.069647,2652.699951,3884.195313,2526.194092,90.72506,0.069547,3878.591553,2522.549805,90.463455,0.133462,10
40,34,15.437025,30.213911,0.000018,0.000028,0.069641,2652.699951,3890.756348,2529.615967,91.06588,0.069537,3884.971191,2525.854736,90.795265,0.133886,10
41,35,15.437025,30.213911,0.000018,0.000028,0.069634,2652.699951,3888.637207,2529.368164,90.921188,0.069527,3882.687744,2525.498291,90.643188,0.133319,10
42,36,15.437025,30.213911,0.000018,0.000028,0.069627,2652.699951,3891.72583,2526.179199,91.274574,0.069517,3885.607666,2522.208008,90.987808,0.135919,10
43,37,15.437025,30.213911,0.000018,0.000028,0.06962,2652.699951,3893.075928,2521.533691,91.558075,0.069507,3886.776367,2517.453613,91.262001,0.138657,10
44,38,15.437025,30.213911,0.000018,0.000028,0.069613,2652.699951,3890.942383,2519.089844,91.499847,0.069497,3884.46582,2514.896973,91.195488,0.139181,10
45,39,15.437025,30.213911,0.000018,0.000028,0.069606,2652.699951,3895.773926,2517.376953,91.918518,0.069487,3889.129395,2513.083496,91.605232,0.141556,10
46,40,15.437025,30.213911,0.000018,0.000028,0.069599,2652.699951,3898.874756,2511.311768,92.380859,0.069477,3892.062988,2506.924316,92.058334,0.145474,10
47,41,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069467,3893.230713,2502.940186,92.296974,nan,10
48,42,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069457,3896.155029,2499.691406,92.632919,nan,10
49,43,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069447,3893.886963,2495.047607,92.646889,nan,10
50,44,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069437,3895.058594,2483.258789,93.176064,nan,10
51,45,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069427,3901.495117,2479.35083,93.782562,nan,10
52,46,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069417,3902.679199,2478.988525,93.880737,nan,10
53,47,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069407,3898.621582,2465.95752,94.068596,nan,10
54,48,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069397,3901.572998,2463.505859,94.367676,nan,10
55,49,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069387,3901.02124,2450.630371,94.789566,nan,10
56,50,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069377,3891.688232,2454.425781,93.992249,nan,10
57,51,15.437025,30.213911,0.000018,0.000029,0,2652.699951,0,0,nan,0.069367,3880.679443,2432.728516,93.983719,nan,10
58,52,15.437025,30.213911,0.000018,0.000029,0,2652.699951,0,0,nan,0.069357,3873.199951,2431.70459,93.493317,nan,10
59,53,15.437025,30.213911,0.000018,0.000029,0,2652.699951,0,0,nan,0.069347,3862.274658,2429.301025,92.809921,nan,10
60,54,15.437025,30.213911,0.000018,0.000029,0,2652.699951,0,0,nan,0.069337,3858.298828,2425.563965,92.662483,nan,10
61,55,15.437025,30.213911,0.000018,0.000029,0,2652.699951,0,0,nan,0.069327,3844.048584,2421.82251,91.795677,nan,10
113,1,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069616,3756.370117,2482.559326,83.26384,nan,20
114,2,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069616,3759.986572,2484.682861,83.435318,nan,20
115,3,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069616,3764.870117,2489.660889,83.579262,nan,20
116,4,15.437025,30.213911,0.000019,0.000028,0,2652.699951,0,0,nan,0.069616,3761.612793,2488.947021,83.374596,nan,20
117,5,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069616,3768.126465,2495.369629,83.57502,nan,20
118,6,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.069616,3768.134521,2493.94458,83.635384,nan,20
119,7,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06961,3767.797852,2502.327637,83.257309,nan,20
120,8,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.0696,3772.1604,2502.690186,83.557838,nan,20
121,9,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06959,3773.264648,2506.663574,83.469055,nan,20
122,10,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06958,3777.642822,2509.19873,83.678787,nan,20
123,11,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06957,3780.371582,2514.633789,83.644714,nan,20
124,12,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06956,3776.539551,2510.63916,83.537132,nan,20
125,13,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06955,3784.229248,2514.644287,83.925072,nan,20
126,14,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06954,3785.308594,2521.560303,83.706314,nan,20
127,15,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06953,3791.360352,2520.460938,84.195427,nan,20
128,16,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06952,3794.144043,2523.770508,84.256332,nan,20
129,17,15.437025,30.213911,0.000018,0.000028,0,2652.699951,0,0,nan,0.06951,3803.581299,2525.620361,84.866493,nan,20
130,18,15.437025,30.213911,0.000018,0.000027,0,2652.699951,0,0,nan,0.0695,3814.728027,2528.935791,85.539726,nan,20
131,19,15.437025,30.213911,0.000018,0.000027,0,2652.699951,0,0,nan,0.06949,3817.530273,2531.518799,85.63443,nan,20
132,20,15.437025,30.213911,0.000018,0.000027,0.06957,2652.699951,3835.391113,2537.37793,86.693642,0.069481,3830.456787,2534.113525,86.470718,0.110836,20
133,21,15.437025,30.213911,0.000018,0.000027,0.069563,2652.699951,3843.483398,2540.089355,87.17234,0.06947,3838.365479,2536.707031,86.940338,0.112271,20
134,22,15.437025,30.213911,0.000018,0.000027,0.069556,2652.699951,3851.623535,2542.814453,87.654739,0.069461,3846.323242,2539.315186,87.413666,0.113704,20
135,23,15.437025,30.213911,0.000018,0.000027,0.069549,2652.699951,3859.789551,2545.539307,88.139839,0.069451,3854.30249,2541.920654,87.889412,0.115133,20
136,24,15.437025,30.213911,0.000018,0.000027,0.069543,2652.699951,3861.120117,2545.286133,88.248413,0.06944,3855.453125,2541.550537,87.989548,0.115738,20
137,25,15.437025,30.213911,0.000018,0.000027,0.069536,2652.699951,3862.458252,2544.29248,88.388725,0.06943,3856.609863,2540.439941,88.121262,0.116738,20
138,26,15.437025,30.213911,0.000018,0.000027,0.069529,2652.699951,3865.533691,2544.799805,88.593475,0.069421,3859.508057,2540.833008,88.31749,0.117544,20
139,27,15.437025,30.213911,0.000018,0.000027,0.069522,2652.699951,3866.869629,2542.314209,88.795914,0.069411,3860.662109,2538.23291,88.511055,0.119324,20
140,28,15.437025,30.213911,0.000018,0.000027,0.069516,2652.699951,3868.21582,2541.32373,88.936142,0.069401,3861.823242,2537.124023,88.642433,0.120311,20
141,29,15.437025,30.213911,0.000018,0.000027,0.069509,2652.699951,3872.99707,2544.043457,89.173737,0.069391,3866.417969,2539.72168,88.87104,0.120533,20
142,30,15.437025,30.213911,0.000018,0.000027,0.069502,2652.699951,3870.885986,2540.814209,89.153336,0.06938,3864.11792,2536.371826,88.841843,0.121499,20
143,31,15.437025,30.213911,0.000018,0.000027,0.069495,2652.699951,3870.510498,2542.054932,89.074089,0.06937,3863.564453,2537.49292,88.754669,0.120719,20
144,32,15.437025,30.213911,0.000018,0.000027,0.069488,2652.699951,3877.052002,2542.556641,89.533485,0.069361,3869.92749,2537.884277,89.204735,0.122701,20
145,33,15.437025,30.213911,0.000018,0.000027,0.069482,2652.699951,3876.698242,2537.867432,89.701576,0.069351,3869.390381,2533.083252,89.363716,0.125014,20
146,34,15.437025,30.213911,0.000018,0.000027,0.069475,2652.699951,3876.310547,2539.839844,89.59169,0.069341,3868.815918,2534.929199,89.24559,0.123861,20
